country,region,year,score,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,eb_log_gdp_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption
China,East Asia,2015,5.139999866,9.304759026,0.784289658,68.22540283,0.806748092,-0.192273229,0.921661675,0.890115082,0.946745396,0.816581011,0.516971171,0.081854478,0.027811555
Colombia,Latin America and Caribbean,2015,6.477000237,9.392128944,0.907306373,63.67922211,0.823529422,-0.062529869,0.884653211,0.918612778,1.240184307,0.690768898,0.534660339,0.184008613,0.051198591
Comoros,Sub-Saharan Africa,2015,3.95600009,7.308703423,0.719723403,51.84083939,0.533712983,-0.074720189,0.650761902,0.239056796,0.792731822,0.363150597,0.229166031,0.174410492,0.199003264
Congo (Brazzaville),Sub-Saharan Africa,2015,3.989000082,8.656470299,0.665292799,49.9386673,0.709688842,-0.138893738,0.780755758,0.678661227,0.662895381,0.310509413,0.414661437,0.123883106,0.116855279
Congo (Kinshasa),Sub-Saharan Africa,2015,4.517000198,6.575788021,0.80711633,42.26185608,0.530760586,0.019170895,0.845018506,0,1.001195192,0.098059438,0.226053923,0.248336166,0.076245241
Costa Rica,Latin America and Caribbean,2015,7.225999832,9.506083488,0.906340837,69.80422211,0.917542577,0.027591037,0.798209369,0.955781579,1.237881064,0.860273659,0.633759201,0.254965812,0.105825692
Croatia,Central and Eastern Europe,2015,5.758999825,9.894703865,0.721195042,67.19452667,0.561857462,-0.227092102,0.927221537,1.082538843,0.796242177,0.78805232,0.258832991,0.054439653,0.024298072
Cyprus,Western Europe,2015,5.68900013,10.27973652,0.761833668,72.09119415,0.702155411,0.09289097,0.868416131,1.208125949,0.893179834,0.923563898,0.406720489,0.306380063,0.061459407
Czech Republic,Central and Eastern Europe,2015,6.505000114,10.19038486,0.893157661,69.24623108,0.756157041,-0.160518035,0.923705935,1.1789819,1.206434488,0.844831705,0.463643372,0.106857106,0.026519712
Denmark,Western Europe,2015,7.52699995,10.63952065,0.957779527,70.32339478,0.932365298,0.137351438,0.200448066,1.3254776,1.360580802,0.874641359,0.649383724,0.341386229,0.483573467
Djibouti,Sub-Saharan Africa,2015,4.368999958,7.925537109,0.635599375,51.83212662,0.753407061,-0.06644503,0.520932198,0.440250933,0.59206593,0.362909466,0.460744619,0.180925995,0.281047523
Dominican Republic,Latin America and Caribbean,2015,4.885000229,9.320871353,0.878730476,62.86550903,0.863431692,-0.020835144,0.740419924,0.895370483,1.172020555,0.668250024,0.576721132,0.216837183,0.142344996
Ecuador,Latin America and Caribbean,2015,5.974999905,9.224761963,0.806208849,67.29204559,0.77712214,-0.149657205,0.679414034,0.864022255,0.99903053,0.7907511,0.485742599,0.115408435,0.180896908
Egypt,Middle East and North Africa,2015,4.193999767,9.279253006,0.70055151,61.01789093,0.480315715,-0.152834252,0.86559093,0.881795764,0.746999979,0.617118597,0.172880188,0.11290697,0.06324476
El Salvador,Latin America and Caribbean,2015,6.130000114,8.919775963,0.817125499,63.19488144,0.699097991,-0.16043222,0.779320002,0.764544249,1.025070667,0.677365124,0.403497666,0.106924668,0.117762588
Estonia,Central and Eastern Europe,2015,5.428999901,10.10687923,0.902161717,66.67274475,0.742147267,-0.185988992,0.725389659,1.151744604,1.227912426,0.77361238,0.448875725,0.086802408,0.15184319
Ethiopia,Sub-Saharan Africa,2015,4.512000084,7.160531044,0.64062649,54.63772202,0.728508353,0.012704879,0.72755444,0.190727055,0.604057372,0.440552205,0.434498996,0.243245095,0.150475189
Finland,Western Europe,2015,7.406000137,10.53151321,0.940038919,70.84624481,0.92506963,0.000337604,0.310989916,1.290248513,1.318263054,0.889110863,0.641693413,0.233507648,0.413717896
France,Western Europe,2015,6.574999809,10.49329662,0.915770888,72.8941803,0.838186443,-0.139613584,0.638963819,1.277783275,1.260375142,0.94578594,0.550110221,0.123316333,0.206458911
Gabon,Sub-Saharan Africa,2015,3.895999908,9.826323509,0.766905248,54.39090729,0.619073987,-0.209595174,0.790168822,1.060235023,0.905277371,0.433721781,0.319144696,0.068215951,0.11090681
Georgia,Commonwealth of Independent States,2015,4.296999931,8.850348473,0.549051821,65.07022858,0.701257527,-0.225787327,0.35911262,0.741898894,0.385619074,0.729263961,0.405774027,0.055466976,0.383307368
Germany,Western Europe,2015,6.75,10.64701748,0.932119012,70.94553375,0.89953202,0.06210402,0.620022953,1.327922821,1.299371243,0.891858637,0.614774346,0.282139778,0.218428358
Ghana,Sub-Saharan Africa,2015,4.632999897,8.248454094,0.672270358,53.2201004,0.717999041,-0.003012762,0.896755815,0.545577586,0.679539323,0.401320606,0.423421174,0.23086971,0.043550503
Greece,Western Europe,2015,4.856999874,10.11398029,0.776989996,70.59382629,0.3893435,-0.296234518,0.943570375,1.154060721,0.929333091,0.882125378,0.076986767,0,0.013966628
Guatemala,Latin America and Caribbean,2015,6.123000145,8.86149025,0.824877322,61.99829483,0.864009023,0.052893307,0.815782666,0.745533049,1.043561459,0.644250512,0.577329695,0.274887681,0.094720468
Guinea,Sub-Saharan Africa,2015,3.655999899,7.109761238,0.582225323,47.39408493,0.674199939,0.067727126,0.773580968,0.17416735,0.464749724,0.240090013,0.377252728,0.286567152,0.1213893
Haiti,Latin America and Caribbean,2015,4.518000126,7.39355135,0.698881328,52.75584412,0.548023701,0.290374666,0.693881452,0.266731858,0.743016005,0.388472646,0.244250894,0.461869895,0.171754405
Honduras,Latin America and Caribbean,2015,4.788000107,8.400954247,0.787114561,63.83577728,0.697187304,-0.003769332,0.857674539,0.595318913,0.95348382,0.69510144,0.401483625,0.230274037,0.068247423
Hong Kong,East Asia,2015,5.473999977,10.82519627,0.831005275,75.33320618,0.881796002,0.205162376,0.378210962,1.386039853,1.058178902,1.013284087,0.596078873,0.394777536,0.37123841
Hungary,Central and Eastern Europe,2015,4.800000191,10.01245022,0.891359627,66.14646912,0.620951176,-0.133663744,0.922032177,1.1209445,1.202145576,0.759048104,0.321123451,0.128000975,0.027577423
Iceland,Western Europe,2015,7.56099987,10.5685339,0.97524035,72.96855927,0.912811399,0.257894844,0.741834044,1.30232358,1.402231097,0.947844326,0.62877208,0.436296731,0.141451374
India,South Asia,2015,4.565000057,8.553243637,0.547424018,57.33843994,0.693752706,0.040021516,0.831295848,0.644991517,0.381736189,0.515292525,0.397863209,0.264752984,0.084917106
Indonesia,Southeast Asia,2015,5.399000168,9.11515522,0.843119502,61.77002335,0.758497059,0.358301342,0.965671659,0.828271568,1.087075591,0.637933254,0.466109961,0.515352368,0
Iran,Middle East and North Africa,2015,4.68599987,9.668617249,0.615646005,63.94233704,0.601222098,0.187480807,0.872899294,1.008795619,0.544470012,0.698050439,0.300327092,0.380855858,0.058626331
Iraq,Middle East and North Africa,2015,4.677000046,9.597179413,0.730690718,60.48497391,0.316307664,-0.068610668,0.747490406,0.985494554,0.818892777,0.602370501,0,0.179220855,0.137876898
Ireland,Western Europe,2015,6.940000057,10.67164707,0.961508632,71.07107544,0.90237534,0.286741734,0.51146704,1.335956335,1.36947608,0.895332873,0.617771447,0.459009469,0.287028909
Israel,Middle East and North Africa,2015,7.277999878,10.34241581,0.90049237,71.74086761,0.708291948,0.125072718,0.842475355,1.228570104,1.223930478,0.913868845,0.413188964,0.331718504,0.077852353
Italy,Western Europe,2015,5.947999954,10.41160202,0.889527261,73.20764923,0.565201104,-0.006363058,0.919770896,1.25113678,1.197774768,0.954460979,0.262357533,0.228231847,0.02900641
Ivory Coast,Sub-Saharan Africa,2015,3.654999971,8.002469063,0.710675657,44.20557022,0.760915637,-0.040122166,0.682073474,0.465344012,0.771149695,0.151850268,0.468659371,0.201651424,0.17921631
Jamaica,Latin America and Caribbean,2015,5.709000111,9.06029129,0.869927585,63.5576973,0.79483813,-0.026594903,0.929296434,0.810376465,1.151022434,0.687405825,0.504416943,0.212302193,0.022986867
Japan,East Asia,2015,5.986999989,10.47168922,0.914404511,74.53201294,0.786992908,-0.160268679,0.679879904,1.270735621,1.257115841,0.991111696,0.496147335,0.107053436,0.180602506
Jordan,Middle East and North Africa,2015,5.191999912,9.341126442,0.829220474,63.88249588,0.702051938,-0.155857444,0.739490986,0.901977181,1.053921461,0.696394384,0.406611413,0.110526644,0.142932028
Kazakhstan,Commonwealth of Independent States,2015,5.855000019,10.01734543,0.85793215,61.97776413,0.806289375,-0.146020964,0.831896722,1.122541189,1.122409105,0.643682361,0.516487658,0.118271448,0.084537387
Kenya,Sub-Saharan Africa,2015,4.419000149,7.693935394,0.806096613,53.69089508,0.716796398,0.180582553,0.873276055,0.364708841,0.998762786,0.414349496,0.422153473,0.375424474,0.058388241
Kosovo,Central and Eastern Europe,2015,5.589000225,9.033013344,0.72779119,61.53123093,0.551094532,0.063317873,0.890650392,0.801479161,0.811976373,0.631324887,0.247487843,0.283095509,0.047408748
Kuwait,Middle East and North Africa,2015,6.295000076,11.3408041,0.876179516,64.91339874,0.84281826,-0.090129994,0.560423911,1.554216862,1.165935636,0.72492379,0.554992616,0.162277505,0.256091207
Kyrgyzstan,Commonwealth of Independent States,2015,5.285999775,8.02986145,0.869982958,62.23798752,0.728769124,0.0851717,0.898709774,0.474278659,1.151154518,0.650883853,0.434773892,0.300302237,0.042315722
Laos,Southeast Asia,2015,4.875999928,8.386667252,0.696789563,58.55966568,0.881633818,0.23962976,0.581939816,0.590658903,0.738026381,0.549089015,0.595907927,0.421915621,0.242494509
Latvia,Central and Eastern Europe,2015,5.09800005,9.988462448,0.84670198,64.89342499,0.597793043,-0.064748697,0.865469456,1.113120317,1.095621109,0.724371076,0.296712548,0.182261601,0.063321523
Lebanon,Middle East and North Africa,2015,4.839000225,9.720262527,0.722774923,69.05265045,0.638060689,-0.018669959,0.893160641,1.025640845,0.8000108,0.839474499,0.339158505,0.21854195,0.045822427
Lesotho,Sub-Saharan Africa,2015,4.897999763,7.726869583,0.823816776,41.46899033,0.617677569,-0.088091478,0.767806828,0.375451088,1.041031718,0.076117478,0.317672729,0.163882539,0.125038192
Liberia,Sub-Saharan Africa,2015,4.571000099,6.794080734,0.718442142,51.07692719,0.586973429,0.01318133,0.867055357,0.071201064,0.789675534,0.342009902,0.285307646,0.243620232,0.062319335
Libya,Middle East and North Africa,2015,5.754000187,10.04464436,0.856343389,64.15023041,0.711605787,-0.063872688,0.791240275,1.131445289,1.118619323,0.703803718,0.416682094,0.182951331,0.110229723
Lithuania,Central and Eastern Europe,2015,5.833000183,10.09305096,0.914543092,65.14296722,0.518777668,-0.262695521,0.94934988,1.147234201,1.257446408,0.731276929,0.213422775,0.02640711,0.010314343
Luxembourg,Western Europe,2015,6.946000099,11.37051392,0.898687541,71.92420959,0.900537312,0.059813842,0.367547631,1.563907385,1.219625235,0.91894275,0.615833998,0.280336589,0.377976954
Macedonia,Central and Eastern Europe,2015,5.006999969,9.391802788,0.807589412,65.2935791,0.633710921,-0.012261267,0.881372929,0.918506384,1.002323627,0.735445023,0.334573418,0.223587856,0.053271525
Madagascar,Sub-Saharan Africa,2015,3.680999994,7.214238644,0.667438149,55.60094833,0.498301804,-0.025285151,0.837115884,0.208244994,0.668012798,0.467208773,0.191839248,0.213333443,0.081239209
Malawi,Sub-Saharan Africa,2015,4.291999817,6.624955654,0.559834063,46.8711853,0.724750102,0.124512605,0.855265796,0.016037127,0.411338568,0.225619152,0.430537462,0.331277519,0.069769599
Malaysia,Southeast Asia,2015,5.769999981,10.02445984,0.83605814,64.87776184,0.819335401,0.123845533,0.799506307,1.124861717,1.070231795,0.723937571,0.530239403,0.330752313,0.105006106
Mali,Sub-Saharan Africa,2015,3.994999886,7.375196457,0.821398139,46.15608597,0.684941113,-0.05748361,0.770213306,0.260744989,1.035262465,0.205829322,0.388574958,0.187981814,0.123517446
Malta,Western Europe,2015,6.302000046,10.27751255,0.933232605,70.77765656,0.888978839,0.361050367,0.750689387,1.207400441,1.302027583,0.887212753,0.603650272,0.517516792,0.135855347
Mauritania,Sub-Saharan Africa,2015,4.43599987,7.967893124,0.75172925,51.68142319,0.546195149,-0.018092966,0.689360321,0.454066306,0.869077206,0.358738869,0.242323428,0.218996257,0.174611479
Mauritius,Sub-Saharan Africa,2015,5.477000237,9.66497612,0.800414801,64.35600281,0.848193765,0.183148637,0.846660137,1.007608056,0.985209644,0.709498286,0.560658872,0.377444923,0.075207837
Mexico,Latin America and Caribbean,2015,7.186999798,9.704608917,0.770774841,68.1481781,0.773391962,-0.117483959,0.628418803,1.020535111,0.914507747,0.814443886,0.481810629,0.140740216,0.213122711
Moldova,Commonwealth of Independent States,2015,5.888999939,8.398367882,0.813019156,61.05904007,0.627644598,-0.030135214,0.940116942,0.594475329,1.015275598,0.618257344,0.328178942,0.209514722,0.016148983
Mongolia,East Asia,2015,4.874000072,9.114892006,0.932632506,60.49633408,0.730179667,0.125812963,0.923489034,0.828185737,1.300596118,0.602684855,0.43626073,0.332301378,0.026656779
Montenegro,Central and Eastern Europe,2015,5.191999912,9.563103676,0.767028749,64.92379761,0.489533782,-0.091248989,0.739453733,0.974380016,0.905571997,0.72521162,0.182596922,0.161396459,0.142955571
Morocco,Middle East and North Africa,2015,5.013000011,8.828556061,0.656091809,60.74400711,0.711826742,-0.205148399,0.830441535,0.734790862,0.6409477,0.609539032,0.416914999,0.071717143,0.085456975
Mozambique,Sub-Saharan Africa,2015,4.971000195,6.830506802,0.817624569,42.01796722,0.639206827,-0.013400467,0.718758941,0.083082244,1.026261091,0.091310002,0.340366632,0.22269091,0.156033382
Myanmar,Southeast Asia,2015,4.30700016,7.406867981,0.684642136,56.15213013,0.733888984,0.714598596,0.664478242,0.271075368,0.709050477,0.482462317,0.440170705,0.795884907,0.190335393
Nepal,South Asia,2015,4.513999939,7.679401398,0.749808073,59.26979446,0.6794855,0.113942973,0.872201622,0.359968245,0.864494503,0.568741322,0.382824212,0.322955459,0.059067216
Netherlands,Western Europe,2015,7.377999783,10.6516819,0.924070656,70.98093414,0.900468528,0.308452934,0.462236613,1.32944417,1.280173063,0.892838299,0.615761518,0.476103932,0.318139434
New Zealand,North America and ANZ,2015,7.285999775,10.40868282,0.940630615,71.54219055,0.922872722,0.307063699,0.286465794,1.250184655,1.319674492,0.908370614,0.639377654,0.475010067,0.42921564
Nicaragua,Latin America and Caribbean,2015,5.828000069,8.394598007,0.866077125,65.5717926,0.842583954,0.057038266,0.659991443,0.593245685,1.141837716,0.743144393,0.554745615,0.278151244,0.193170771
Niger,Sub-Saharan Africa,2015,3.845000029,6.788557053,0.711303651,49.45306396,0.768748879,-0.050010554,0.71819222,0.069399394,0.772647679,0.297070712,0.476916373,0.193865761,0.156391516
Nigeria,Sub-Saharan Africa,2015,5.268000126,8.581940651,0.766502976,44.5024147,0.642027199,0.049648058,0.901891947,0.654351711,0.904317796,0.160065219,0.343339592,0.272332489,0.040304787
North Cyprus,Western Europe,2015,5.695000172,10.27952957,0.835996509,72.09121704,0.781416118,0.036134291,0.739694595,1.208058357,1.070084691,0.923564553,0.490268856,0.261692375,0.142803371
Norway,Western Europe,2015,7.521999836,11.04887199,0.945359468,70.7052536,0.951669097,0.144467577,0.388028592,1.458996654,1.330954552,0.885209024,0.669731796,0.346989155,0.365034252
Oman,Middle East and North Africa,2015,6.853000164,10.74571037,0.840915978,66.28063202,0.916573584,-0.022635838,0.450995088,1.36011374,1.081819415,0.762760997,0.632737756,0.215419382,0.325243384
Pakistan,South Asia,2015,5.193999767,8.401280403,0.56099695,57.31555939,0.431113124,0.131411329,0.800080299,0.595425308,0.414112478,0.514659345,0.121015951,0.336709261,0.104643382
Palestinian Territories,Middle East and North Africa,2015,4.715000153,8.411239624,0.775415063,62.57299042,0.548720658,-0.153341115,0.761463284,0.598673701,0.925576329,0.66015476,0.244985551,0.112507887,0.129046917
Panama,Latin America and Caribbean,2015,6.785999775,9.836421013,0.889832795,67.50363922,0.830590904,0.014091259,0.818980873,1.063528538,1.198503494,0.796606779,0.542103767,0.244336665,0.092699401
Paraguay,Latin America and Caribbean,2015,5.877999783,8.90537262,0.934382915,62.60280609,0.827634394,0.13863562,0.835253954,0.75984627,1.304771543,0.660979927,0.538987339,0.342397332,0.082415827
Peru,Latin America and Caribbean,2015,5.823999882,9.335644722,0.795961261,65.10280609,0.709970593,-0.105952635,0.870894253,0.900189161,0.974586368,0.730165541,0.414958417,0.149819463,0.059893392
Philippines,Southeast Asia,2015,5.072999954,8.7382164,0.821355104,59.71776581,0.909655869,0.02117095,0.771370053,0.705324531,1.035159707,0.581138611,0.625445843,0.249910891,0.122786455
Poland,Central and Eastern Europe,2015,5.790999889,10.02656937,0.923779786,66.8685379,0.820261478,-0.083380409,0.899024069,1.125549793,1.279479265,0.7790308,0.531215608,0.16759184,0.042117108
Portugal,Western Europe,2015,5.102000237,10.13191414,0.865035653,70.34319305,0.804582655,-0.12198893,0.948616803,1.159910321,1.139353514,0.875189304,0.514688611,0.137193203,0.010777602
Qatar,Middle East and North Africa,2015,6.611000061,11.75836945,0.839567304,67.52985382,0.923838317,0.117468558,0.139517799,1.690415144,1.078602314,0.797332227,0.640395522,0.325731337,0.52207756
Romania,Central and Eastern Europe,2015,5.124000072,9.774851799,0.758771718,66.50250244,0.648988664,-0.121627659,0.955407202,1.043446422,0.885876,0.76890105,0.350677639,0.137477651,0.006486494
Russia,Commonwealth of Independent States,2015,5.71600008,10.06364918,0.905622959,62.90205765,0.664272606,-0.293708861,0.91811955,1.137644172,1.236168742,0.669261456,0.366788387,0.00198859,0.030049957
Rwanda,Sub-Saharan Africa,2015,3.464999914,7.256647587,0.711745381,54.20740128,0.877933145,-0.008843509,0.092307568,0.222077623,0.77370137,0.428643405,0.592007041,0.226278856,0.551911473
Saudi Arabia,Middle East and North Africa,2015,6.410999775,10.85392475,0.841798723,64.74455261,0.61085403,-0.122162804,0.450995088,1.395410299,1.083925128,0.720251143,0.310480088,0.137056306,0.325243384
Senegal,Sub-Saharan Africa,2015,3.904000044,7.69475174,0.796631932,54.45160294,0.665155351,-0.031519197,0.796140671,0.364975125,0.976186156,0.435401499,0.367718875,0.20842503,0.107132979
Serbia,Central and Eastern Europe,2015,5.123000145,9.398003578,0.810658693,65.76023865,0.507057428,-0.051987793,0.924258709,0.920528889,1.009644985,0.748359501,0.201068521,0.192308962,0.026170393
Sierra Leone,Sub-Saharan Africa,2015,4.506999969,7.588256359,0.788047135,38.71850967,0.703749299,-0.023317855,0.826642513,0.330239266,0.955708325,0,0.408400595,0.214882419,0.087857723
Singapore,Southeast Asia,2015,6.797999859,11.24159908,0.815000594,75.7654953,0.830982327,0.098820552,0.186955884,1.521858931,1.020002007,1.025247455,0.54251641,0.311048716,0.492099643
Slovakia,Central and Eastern Europe,2015,5.994999886,10.15950203,0.91980046,67.22956085,0.617524445,-0.081683077,0.911380172,1.168908715,1.269987106,0.78902185,0.31751135,0.168928236,0.034308821
Slovenia,Central and Eastern Europe,2015,5.84800005,10.20876789,0.921418846,70.27749634,0.893630147,0.025451683,0.905746996,1.184977889,1.27384758,0.873371184,0.608553171,0.253281355,0.037868638
Somaliland region,Sub-Saharan Africa,2015,5.05700016,7.153598785,0.786291242,54.5717392,0.758219004,0.342846304,0.333831728,0.188465938,0.951519907,0.438726187,0.465816885,0.503183722,0.39928329
South Africa,Sub-Saharan Africa,2015,4.642000198,9.397891998,0.884039044,48.72331238,0.631331921,-0.144167513,0.825083375,0.92049253,1.184683323,0.276875377,0.332065731,0.119730778,0.088842995
South Korea,East Asia,2015,5.984000206,10.39157867,0.78889966,73.60205841,0.631349921,-0.060552526,0.84134084,1.24460578,0.957741916,0.9653759,0.332084715,0.185565487,0.0785693
Spain,Western Europe,2015,6.328999996,10.3471508,0.938162684,73.24969482,0.752232015,-0.064734504,0.864422679,1.230114579,1.31378758,0.955624521,0.459506005,0.182272777,0.063983023
Sri Lanka,South Asia,2015,4.270999908,9.136509895,0.814602375,64.30414581,0.825997412,0.222307697,0.820427418,0.835236907,1.019052029,0.708063185,0.537261784,0.408277005,0.091785274
Sudan,Sub-Saharan Africa,2015,4.550000191,8.173327446,0.812500715,52.04427719,0.411947906,-0.054138005,0.733679295,0.521073341,1.01403892,0.368780583,0.100813977,0.190615997,0.146604657
Suriname,Latin America and Caribbean,2015,6.269000053,9.627368927,0.794875681,60.69547653,0.882264674,-0.080438085,0.749934435,0.995341539,0.971996844,0.60819602,0.596572876,0.169908494,0.136332422
Swaziland,Sub-Saharan Africa,2015,4.867000103,8.758875847,0.837149739,41.45229721,0.60715723,-0.064330176,0.917250097,0.712063074,1.072835565,0.075655513,0.306583285,0.182591125,0.030599397
Sweden,Western Europe,2015,7.363999844,10.65862274,0.927800655,71.63234711,0.942244232,0.164319962,0.271875322,1.331708074,1.289070487,0.910865664,0.659797072,0.362620056,0.438435882
Switzerland,Western Europe,2015,7.586999893,10.85728264,0.953136325,72.73686218,0.947723985,0.080692194,0.301402122,1.396505475,1.349505067,0.941432297,0.665573299,0.296775281,0.419776797
Syria,Middle East and North Africa,2015,3.006000042,8.609065056,0.586476564,64.80529022,0.465099275,0.302973658,0.666497231,0.663198888,0.474890471,0.721931994,0.156840608,0.471789777,0.189059526
Taiwan,East Asia,2015,6.297999859,10.53376865,0.83854872,70.34708405,0.693315268,0.026056159,0.83703351,1.290984154,1.076172709,0.87529695,0.397402108,0.253757298,0.081291258
Tajikistan,Commonwealth of Independent States,2015,4.785999775,7.772919655,0.746090591,59.45213318,0.764237046,-0.004448545,0.727163494,0.390471339,0.855627,0.573787391,0.472160459,0.229739264,0.150722235
Tanzania,Sub-Saharan Africa,2015,3.780999899,7.450170517,0.80773747,52.52743912,0.628215134,0.140382797,0.874734104,0.285199463,1.002676845,0.382151723,0.328780353,0.343772978,0.057466846
Thailand,Southeast Asia,2015,6.454999924,9.540180206,0.917728543,65.40387726,0.844383955,0.4357149,0.915240169,0.966903031,1.265044808,0.738497436,0.556643009,0.576304317,0.031869546
Togo,Sub-Saharan Africa,2015,2.838999987,7.215558529,0.446059346,48.99629974,0.662128508,-0.08437521,0.795855284,0.208675504,0.139945194,0.284430087,0.364528298,0.166808575,0.107313327
